City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,akureyri,65.6835,-18.0878,-1.84,98,100,1.94,IS,1712884033
259,miranda,3.2499,-76.2281,24.07,79,98,2.96,CO,1712884141
260,masterton,-40.9597,175.6575,18.27,96,100,2.63,NZ,1712884141
261,heyuan,23.7333,114.6833,26.23,72,10,1.47,CN,1712883850
262,guerrero negro,27.9769,-114.0611,19.19,62,100,6.16,MX,1712884141
263,santo tome,-31.6627,-60.7653,18.92,71,100,4.02,AR,1712884141
264,prince rupert,54.3161,-130.3201,5.48,79,74,2.1,CA,1712884141
265,qurayyat,31.3318,37.3428,14.1,67,0,2.06,SA,1712884141
266,kavieng,-2.5744,150.7967,28.69,73,67,2.76,PG,1712884142
267,queenstown,-31.8976,26.8753,3.85,88,0,0.64,ZA,1712884025
268,westport,41.1415,-73.3579,15.81,93,100,4.63,US,1712884040
269,atafu village,-8.5421,-172.5159,29.81,74,98,4.16,TK,1712884142
270,taoudenni,22.6783,-3.9836,26.96,11,0,6.42,ML,1712884142
271,st. john's,47.5649,-52.7093,2.21,81,0,6.69,CA,1712883896
272,chibougamau,49.9168,-74.3659,5.79,87,100,3.09,CA,1712884142
273,bodo,67.28,14.405,4.02,64,75,4.63,NO,1712883928
274,antonio enes,-16.2325,39.9086,25.8,86,100,6.78,MZ,1712884143
275,kilindoni,-7.9139,39.6668,27.34,85,79,4.88,TZ,1712884143
276,askiz,53.1319,90.5264,1.01,87,100,1.18,RU,1712884143
277,pacocha,-17.5833,-71.3333,20.73,91,82,1.17,PE,1712884143
278,huanuco,-9.9329,-76.2415,19.06,92,99,1.85,PE,1712884143
279,college,64.8569,-147.8028,7.18,49,75,6.17,US,1712884143
280,fale old settlement,-9.3852,-171.2468,29.99,72,13,3.96,TK,1712884144
281,kuta,-8.7233,115.1723,28.97,88,40,2.24,ID,1712884144
282,tsiombe,-25.3,45.4833,20.02,87,100,3.04,MG,1712883936
283,sirjan,29.452,55.6814,14.27,62,0,2.38,IR,1712884144
284,la mana,-0.9333,-79.2167,25.9,88,87,1.46,EC,1712884144
285,kilju,40.9642,129.3278,17.77,43,49,2.69,KP,1712884144
286,pedernales,18.0384,-71.744,27.79,67,5,2.41,DO,1712884144
287,proletarsk,46.7031,41.7192,17.86,61,100,0.73,RU,1712884145
288,sola,-13.8833,167.55,28.37,79,56,4.61,VU,1712884145
289,brechin,56.7299,-2.6573,11.81,95,100,4.05,GB,1712884145
290,uturoa,-16.7333,-151.4333,28.57,80,23,7.91,PF,1712883874
291,ulladulla,-35.35,150.4667,19.87,60,1,2.68,AU,1712884145
292,candido mendes,-1.4467,-45.7167,24.65,98,100,0.57,BR,1712884108
293,codrington,-38.2667,141.9667,16.13,53,99,3.46,AU,1712884145
294,olovyannaya,50.95,115.5667,9.94,43,6,4.47,RU,1712884146
295,fort madison,40.6298,-91.3151,11.38,62,75,8.23,US,1712884146
296,sao felix do xingu,-6.6447,-51.995,23.72,97,99,0.51,BR,1712884146
